province,topic,merged
Aceh,Makanan,Abdulah ingin sarapan pagi dan pergi ke warung kopi. Abdulah memesan kopi dan nasi gurih.
Aceh,Makanan,Anisa ingin membeli nasi gurih dan kopi. Anisa membeli di warung kopi.
Aceh,Makanan,Icut memasak menu khas aceh. Icut memasak kuah pliek.
Aceh,Makanan,Hasna ingin makan siang dan pergi ke warung nasi khas Aceh. Hasna memesaan kuah beulangong dan ayam tangkap.
Aceh,Makanan,Rais ingin makan malam khas Aceh dan pergi ke luar rumah. Rais memesan sate matang.
Aceh,Makanan,Saat malam hari siti ingin makan makanan khas Aceh. Siti memesan mie aceh.
Aceh,Makanan,Keluarga Nia ingin membeli makan ringan khas Aceh. Kelurga Nia membeli kue timpan.
Aceh,Makanan,Satir ingin jajan makanan khas Aceh di kedai. Satir membeli roti canai.
Aceh,Makanan,Khaira ingin membeli oleh-oleh dari Meureudu. Kahira membeli kue Kak Nah.
Aceh,Makanan,Budi ingin membeli oleh oleh khas Aceh untuk ayahnya. Budi membeli kopi Gayo.
Aceh,Makanan,Syarifah baru saja pulang dari Sabang. Syarifah memberi oleh-oleh kue pia AG.
Aceh,Makanan,Raja igin membeli minuman khas Aceh. Raja membeli Kopi Gayo.
Aceh,Makanan,Ayah dewi ingin memesan minuman khas Meulaboh. Ayah dewi memesan minuman kopi Khop.
Aceh,Makanan,Saat Maulid warga kampung Leli mengadakan acara makan bersama. Warga kampung Leli makan bersama-sama di mesjid.
Aceh,Makanan,"Putro berasal dari Aceh, Saat makan Putro disediakan mangkuk berisi air. Putro makan menggunkan tangan yang sudah dicuci bersih."
Aceh,Makanan,Nenek mengukur kelapa mengunakan alat kukur. Nenek mengukur kelapa mengunakan geulungku.
Aceh,Makanan,"Nila baru sampai ke Aceh, Nila inggin membeli masakan khas yang di olah dari danging sapi. Nila membeli masakan Sie Ruboh."
Aceh,Makanan,"Fitri pergi ke rumah saudara yang ada di Aceh Tengah, saat jam makan Fitri di sajikan jamuan makanan. Fitri disajiikan jamuan makanan berupa tenaruh dedah."
Aceh,Makanan,Naura igin membeli masakan daerah yang terbuat dari ikan. Naura membeli masakan gulee keumamah.
Aceh,Makanan,"Saat pergi ke Aceh, Eka membeli buah Khas Aceh. Eka membeli buah Meuria."
Aceh,Makanan,Fatiah membuat Rujak Aceh untuk acara dirumahnya. Fatiah memasukan mangga kwen.
Aceh,Pernikahan,"Teuku ingin menikah dengan Icut, karena itu Teuku mepersiapkan acara Jak ba Ranup. Teuke membawa seserahan berupa sirih, dan kue."
Aceh,Pernikahan,"Keluarga calon suami Aisyah membawa talam pada malam ja ba tanda. Aisyah di bawakan talam berisi siri, makan kaleng, pakain dan perhiasan."
Aceh,Pernikahan,"Dewi bersal dari Nagan Raya, esok hari Dewi akan menikah, keluarga dewi mengadakan acara. Keluarga Dewi mengadakan acara manoe pucok."
Aceh,Pernikahan,"Pada saat pernikahan Dian, anda anak-anak yang menari untuk menyabut tamu. Tarian itu disebut tarian Ranup Lampuan."
Aceh,Pernikahan,"Di pesta pernikahan Indah, Indah dan suami di sandingkan diatas pelaminan dan di peusijuek. Indah dan suami di peusijuk dengan 4 bahan."
Aceh,Pernikahan,"Nisa barau saja menikah dengan Raja, di hari ke tujuh keluarga Nisa pergi kerumah keluarga Raja. Keluarga Nisa membawa hantaran berupa makana, dodol, dan wajib."
Aceh,Pernikahan,"Beni dan Ani baru menikah, mereka belum memiliki rumah. Mereka tinggal di rumah keluarga Ani."
Aceh,Pernikahan,"Lebaran tahun ini, lebaran pertama Rudi dan Kana sebagi suami istri. Rudi dan Kana berkunjung kerumah saudara dengan membawa kue bolu, atau gula."
Aceh,Pernikahan,"Teuku dan Cut merupakan keturuna kerajaan Aceh, pada pesta pernikahan, Teuku hanya bisa memilih 3 warna baju untuk di pakai saat pesta. Teuku memilih mamakai warna hitam."
Aceh,Pernikahan,"Teuku dan Cut merupakan keturuna kerajaan Aceh, pada pesta pernikahan, Cut hanya bisa memilih 3 warna baju untuk di pakai saat pesta. Cut memilih memakai warna merah."
Aceh,Pernikahan,Riska memakai pakain tradisional adat aceh pada saat pesta pernikahanya. Riska memakai baju kurung dan dengan sarung songket.
Aceh,Pernikahan,"Dikampung sebelah ada pesta pernikahan, Mama diundang ke pesta pernikahan. Mama pergi ke pesta pernikahan dengan ibu-ibu di kampung."
Aceh,Pernikahan,"Nonik ingin mengadakan pesta pernikahan adiknya di kampung. Nonik harus mengundang kelurga besar, dan warga kampung."
Aceh,Pernikahan,Aisyah ingin mengadakan pesta pernikahan dengan suasana tradisional. Aisayh mengadaka pesta pernikahan di rumah.
