province,topic,merged,is_correct
Aceh,Makanan,Abdulah ingin sarapan pagi dan pergi ke warung kopi. Abdulah memesan burger dan martabak telur.,False
Aceh,Makanan,Abdulah ingin sarapan pagi dan pergi ke warung kopi. Abdulah memesan kopi dan nasi gurih.,True
Aceh,Makanan,Abdulah ingin sarapan pagi dan pergi ke warung kopi. Abdulah memesan jus dan nasi kambing.,False
Aceh,Makanan,Anisa ingin membeli nasi gurih dan kopi. Anisa membeli di warung kopi.,True
Aceh,Makanan,Anisa ingin membeli nasi gurih dan kopi. Anisa membeli di rumah makan.,False
Aceh,Makanan,Anisa ingin membeli nasi gurih dan kopi. Anisa membeli di pasar.,False
Aceh,Makanan,Icut memasak menu khas aceh. Icut memasak kuah pliek.,True
Aceh,Makanan,Icut memasak menu khas aceh. Icut memasak kuah lemak.,False
Aceh,Makanan,Icut memasak menu khas aceh. Icut memasak kuah lodeh.,False
Aceh,Makanan,Hasna ingin makan siang dan pergi ke warung nasi khas Aceh. Hasna memesan nasi dan ikan sambal.,False
Aceh,Makanan,Hasna ingin makan siang dan pergi ke warung nasi khas Aceh. Hasna memesan king fried chiken.,False
Aceh,Makanan,Hasna ingin makan siang dan pergi ke warung nasi khas Aceh. Hasna memesaan kuah beulangong dan ayam tangkap.,True
Aceh,Makanan,Rais ingin makan malam khas Aceh dan pergi ke luar rumah. Rais memesan KFC.,False
Aceh,Makanan,Rais ingin makan malam khas Aceh dan pergi ke luar rumah. Rais memesan sate matang.,True
Aceh,Makanan,Rais ingin makan malam khas Aceh dan pergi ke luar rumah. Rais memesan kuah beulangong.,False
Aceh,Makanan,Saat malam hari siti ingin makan makanan khas Aceh. Siti memesan mie ceker.,False
Aceh,Makanan,Saat malam hari siti ingin makan makanan khas Aceh. Siti memesan indomie.,False
Aceh,Makanan,Saat malam hari siti ingin makan makanan khas Aceh. Siti memesan mie aceh.,True
Aceh,Makanan,Keluarga Nia ingin membeli makan ringan khas Aceh. Kelurga Nia membeli kue lapis.,False
Aceh,Makanan,Keluarga Nia ingin membeli makan ringan khas Aceh. Kelurga Nia membeli kue risol.,False
Aceh,Makanan,Keluarga Nia ingin membeli makan ringan khas Aceh. Kelurga Nia membeli kue timpan.,True
Aceh,Makanan,Satir ingin jajan makanan khas Aceh di kedai. Satir membeli bakso goreng.,False
Aceh,Makanan,Satir ingin jajan makanan khas Aceh di kedai. Satir membeli kacang rebus.,False
Aceh,Makanan,Satir ingin jajan makanan khas Aceh di kedai. Satir membeli roti canai.,True
Aceh,Makanan,Khaira ingin membeli oleh-oleh dari Meureudu. Kahira membeli pisang coklat.,False
Aceh,Makanan,Khaira ingin membeli oleh-oleh dari Meureudu. Kahira membeli kue Kak Nah.,True
Aceh,Makanan,Khaira ingin membeli oleh-oleh dari Meureudu. Kahira membeli pisang sale.,False
Aceh,Makanan,Budi ingin membeli oleh oleh khas Aceh untuk ayahnya. Budi membeli Emping Melinjo.,False
Aceh,Makanan,Budi ingin membeli oleh oleh khas Aceh untuk ayahnya. Budi membeli kopi Gayo.,True
Aceh,Makanan,Budi ingin membeli oleh oleh khas Aceh untuk ayahnya. Budi Membeli Kue Bhoi.,False
Aceh,Makanan,Syarifah baru saja pulang dari Sabang. Syarifah memberi oleh-oleh kue pia AG.,True
